ID_COMMESSA;Commessa;Desc_Commessa;Tipo_Commessa;ID_CLIENTE;Commissione;ID_COLLABORATORE;Data_Apertura_Commessa;Stato_Commessa;Documento_Offerta;Documento_Ordine;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
COM0001;"CALVI SVIL MANAGERIALITA'";"Sviluppo Manageriale";Cliente;CLI0003;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-08-25 18:15:39";
COM0002;"IK SVILUPPO";"Analisi Organizzativa e progetti";Cliente;CLI0005;0,2700;CONS001;2024-12-01;Chiusa;;;;;"2025-08-29 17:16:16";SYSTEM
COM0003;MANTUA;"Supporto Sviluppo";Cliente;CLI0006;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-08-25 18:16:57";
COM0004;ITALPIZZA;"Sviluppo Manageriale";Cliente;CLI0007;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-08-25 18:17:07";
COM0005;"PERFETTI SVILUPPO";"Sviluppo Organizzativo e Formazione";Cliente;CLI0016;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-08-25 18:17:13";
COM0006;"LAVAZZA ENG";"Supporto Sviluppo";Cliente;CLI0013;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-08-25 18:17:18";
COM0007;"LAVAZZA SETTIMO";"Supporto Sviluppo";Cliente;CLI0013;0,2700;CONS001;2025-03-01;Chiusa;;;;;"2025-08-29 17:16:41";SYSTEM
COM0008;"LAVAZZA HSE";"Supporto Sviluppo";Cliente;CLI0013;0,2700;CONS001;2025-07-01;"In corso";;;;;"2025-08-25 18:17:30";
COM0009;"LACTALIS LTF";"Formazione LTF";Cliente;CLI0009;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-08-25 18:17:35";
COM0010;"LACTALIS GALBANI";Coaching;Cliente;CLI0011;0,2700;CONS001;2025-01-01;"In corso";;;;;"2025-08-25 18:17:42";
COM0011;"LACTALIS AMBROSI COACHING";Coaching;Cliente;CLI0009;0,2700;CONS001;2025-05-01;"In corso";;;;;"2025-08-28 07:46:05";SYSTEM
COM0012;"LACTALIS NUOVA CASTELLI";"Formazione Capi";Cliente;CLI0012;0,2700;CONS001;2025-05-31;"In corso";;;;;"2025-08-25 18:17:53";
COM0013;"LACTALIS CORTEOLONA";"Formazione Capi";Cliente;CLI0012;0,2700;CONS001;2025-06-01;"In corso";;;;;"2025-08-25 18:17:59";
COM0014;"LINDT CAPI";"Sviluppo organizzazione e formazione Capi";Cliente;CLI0014;0,2700;CONS001;2025-04-01;"In corso";;;;;"2025-08-25 18:18:04";
COM0015;"SAMMONTANA FRANCIA";"Assessment Man Prog. Ceres";Cliente;CLI0017;0,2700;CONS003;2025-07-01;Chiusa;;;;;"2025-08-29 17:17:42";SYSTEM
COM0016;"Attivita' di Promozione VP";promo;Interna;;0,0000;;2024-12-01;"In corso";;;;;"2025-09-02 12:55:41";SYSTEM
COM2025001;Sviluppo;;Interna;;0,0000;;2025-08-24;"In corso";;;"2025-08-24 16:26:52";SYSTEM;"2025-08-30 10:51:40";SYSTEM
COM2025004;"IWT Coaching";;Cliente;CLI0008;0,2700;CONS001;2025-08-26;"In corso";;;"2025-08-26 17:18:07";SYSTEM;"2025-08-26 17:18:07";
